driver_label,trip_start,x,y
0.0,1.0,0.0,0.0
0.0,0.0,-11.9,-6.5
0.0,0.0,-21.7,-14.5
0.0,0.0,-30.2,-20.7
0.0,0.0,-39.7,-27.1
0.0,0.0,-50.2,-32.8
0.0,0.0,-59.9,-39.3
0.0,0.0,-70.5,-45.1
0.0,0.0,-80.4,-52.1
0.0,0.0,-90.5,-58.9
0.0,0.0,-99.9,-66.3
0.0,0.0,-110.6,-72.4
0.0,0.0,-120.9,-79.1
0.0,0.0,-132.4,-84.1
0.0,0.0,-143.7,-89.5
0.0,0.0,-154.7,-95.9
0.0,0.0,-166.2,-102.0
0.0,0.0,-177.9,-109.3
0.0,0.0,-189.6,-116.3
0.0,0.0,-202.6,-123.9
0.0,0.0,-215.3,-133.6
0.0,0.0,-228.2,-142.3
0.0,0.0,-241.7,-151.3
0.0,0.0,-255.2,-160.0
0.0,0.0,-268.8,-169.2
0.0,0.0,-282.6,-177.8
0.0,0.0,-297.0,-187.6
0.0,0.0,-308.5,-196.0
0.0,0.0,-319.5,-204.7
0.0,0.0,-329.5,-214.7
0.0,0.0,-340.5,-222.9
0.0,0.0,-349.7,-233.6
0.0,0.0,-358.0,-245.6
0.0,0.0,-366.4,-257.2
0.0,0.0,-374.9,-267.9
0.0,0.0,-382.3,-279.4
0.0,0.0,-388.6,-292.2
0.0,0.0,-394.6,-303.4
0.0,0.0,-398.5,-316.8
0.0,0.0,-401.2,-331.6
0.0,0.0,-402.6,-345.7
0.0,0.0,-402.6,-359.2
0.0,0.0,-402.0,-371.8
0.0,0.0,-401.1,-383.7
0.0,0.0,-399.4,-395.5
0.0,0.0,-396.1,-407.2
0.0,0.0,-390.6,-419.6
0.0,0.0,-383.7,-432.7
0.0,0.0,-376.2,-446.3
0.0,0.0,-368.8,-460.2
0.0,0.0,-361.3,-474.8
0.0,0.0,-352.8,-492.7
0.0,0.0,-346.4,-509.4
0.0,0.0,-340.9,-526.2
0.0,0.0,-335.8,-543.3
0.0,0.0,-331.3,-560.2
0.0,0.0,-326.8,-576.4
0.0,0.0,-322.2,-592.6
0.0,0.0,-317.3,-609.1
0.0,0.0,-312.7,-625.4
0.0,0.0,-308.1,-641.6
0.0,0.0,-304.0,-657.3
0.0,0.0,-300.1,-672.7
0.0,0.0,-296.2,-687.5
0.0,0.0,-292.1,-701.7
0.0,0.0,-288.3,-713.5
0.0,0.0,-284.8,-723.8
0.0,0.0,-282.2,-732.8
0.0,0.0,-280.0,-741.2
0.0,0.0,-279.5,-748.6
0.0,0.0,-280.6,-756.6
0.0,0.0,-283.6,-764.4
0.0,0.0,-290.0,-771.2
0.0,0.0,-300.7,-776.1
0.0,0.0,-311.7,-781.7
0.0,0.0,-324.4,-787.7
0.0,0.0,-338.4,-794.0
0.0,0.0,-352.9,-800.4
0.0,0.0,-367.2,-807.4
0.0,0.0,-382.4,-814.2
0.0,0.0,-398.5,-822.0
0.0,0.0,-415.8,-829.9
0.0,0.0,-433.7,-837.8
0.0,0.0,-451.0,-846.0
0.0,0.0,-468.0,-854.1
0.0,0.0,-485.0,-862.1
0.0,0.0,-501.5,-870.0
0.0,0.0,-517.7,-877.7
0.0,0.0,-533.6,-885.8
0.0,0.0,-549.5,-894.0
0.0,0.0,-565.6,-902.1
0.0,0.0,-582.1,-910.1
0.0,0.0,-598.8,-918.3
0.0,0.0,-615.9,-926.1
0.0,0.0,-633.0,-934.0
0.0,0.0,-650.3,-942.0
0.0,0.0,-667.6,-950.4
0.0,0.0,-685.0,-958.5
0.0,0.0,-702.0,-966.9
0.0,0.0,-719.3,-974.8
0.0,0.0,-736.0,-983.0
0.0,0.0,-752.6,-991.1
0.0,0.0,-769.3,-999.3
0.0,0.0,-785.9,-1007.3
0.0,0.0,-802.4,-1015.3
0.0,0.0,-818.6,-1023.1
0.0,0.0,-833.6,-1031.3
0.0,0.0,-848.7,-1039.2
0.0,0.0,-862.6,-1048.4
0.0,0.0,-875.5,-1059.6
0.0,0.0,-888.5,-1071.7
0.0,0.0,-900.6,-1085.7
0.0,0.0,-913.7,-1099.7
0.0,0.0,-926.9,-1114.3
0.0,0.0,-940.5,-1129.3
0.0,0.0,-953.9,-1144.6
0.0,0.0,-967.7,-1159.6
0.0,0.0,-981.8,-1174.4
0.0,0.0,-995.8,-1189.6
0.0,0.0,-1009.9,-1204.9
0.0,0.0,-1024.1,-1220.0
0.0,0.0,-1038.0,-1235.2
0.0,0.0,-1051.6,-1250.2
0.0,0.0,-1065.6,-1264.9
0.0,0.0,-1079.2,-1279.8
0.0,0.0,-1093.3,-1294.1
0.0,0.0,-1107.1,-1308.5
0.0,0.0,-1120.7,-1323.0
0.0,0.0,-1133.9,-1337.1
0.0,0.0,-1147.2,-1350.7
0.0,0.0,-1160.4,-1364.2
0.0,0.0,-1173.4,-1377.8
0.0,0.0,-1186.2,-1391.6
0.0,0.0,-1198.9,-1405.4
0.0,0.0,-1211.8,-1418.9
0.0,0.0,-1224.4,-1432.6
0.0,0.0,-1237.0,-1445.7
0.0,0.0,-1249.1,-1459.1
0.0,0.0,-1261.1,-1472.5
0.0,0.0,-1273.2,-1485.9
0.0,0.0,-1285.1,-1498.7
0.0,0.0,-1297.2,-1511.4
0.0,0.0,-1308.9,-1523.5
0.0,0.0,-1320.3,-1535.3
0.0,0.0,-1331.1,-1547.6
0.0,0.0,-1341.9,-1559.3
0.0,0.0,-1353.0,-1570.9
0.0,0.0,-1363.9,-1582.4
0.0,0.0,-1374.7,-1594.4
0.0,0.0,-1385.7,-1606.6
0.0,0.0,-1396.7,-1618.6
0.0,0.0,-1407.2,-1630.9
0.0,0.0,-1418.0,-1642.4
0.0,0.0,-1428.2,-1654.0
0.0,0.0,-1438.6,-1664.6
0.0,0.0,-1448.6,-1675.5
0.0,0.0,-1458.9,-1686.1
0.0,0.0,-1468.6,-1697.4
0.0,0.0,-1478.3,-1708.6
0.0,0.0,-1488.0,-1719.8
0.0,0.0,-1498.3,-1730.9
0.0,0.0,-1508.3,-1741.9
0.0,0.0,-1518.7,-1752.5
0.0,0.0,-1529.0,-1763.6
0.0,0.0,-1539.2,-1774.7
0.0,0.0,-1549.7,-1785.4
0.0,0.0,-1560.3,-1795.6
0.0,0.0,-1570.8,-1806.2
0.0,0.0,-1581.6,-1816.2
0.0,0.0,-1592.7,-1826.4
0.0,0.0,-1604.1,-1836.0
0.0,0.0,-1615.5,-1845.9
0.0,0.0,-1627.5,-1855.3
0.0,0.0,-1639.4,-1864.7
0.0,0.0,-1651.1,-1873.9
0.0,0.0,-1662.9,-1883.3
0.0,0.0,-1674.6,-1892.4
0.0,0.0,-1686.4,-1901.9
0.0,0.0,-1698.1,-1912.0
0.0,0.0,-1710.1,-1921.7
0.0,0.0,-1722.2,-1932.0
0.0,0.0,-1734.7,-1941.8
0.0,0.0,-1747.1,-1951.8
0.0,0.0,-1759.1,-1961.8
0.0,0.0,-1770.9,-1971.6
0.0,0.0,-1782.9,-1981.2
0.0,0.0,-1794.1,-1990.8
0.0,0.0,-1805.4,-1999.9
0.0,0.0,-1816.0,-2009.3
0.0,0.0,-1826.9,-2018.1
0.0,0.0,-1838.1,-2026.0
0.0,0.0,-1848.9,-2034.0
0.0,0.0,-1860.0,-2040.9
0.0,0.0,-1871.0,-2047.9
0.0,0.0,-1881.9,-2054.2
0.0,0.0,-1892.6,-2060.0
0.0,0.0,-1902.9,-2064.7
0.0,0.0,-1912.2,-2069.0
0.0,0.0,-1920.8,-2073.1
0.0,0.0,-1928.4,-2077.4
0.0,0.0,-1934.5,-2081.9
0.0,0.0,-1939.1,-2086.6
0.0,0.0,-1942.8,-2090.5
0.0,0.0,-1945.7,-2094.5
0.0,0.0,-1948.4,-2098.0
0.0,0.0,-1952.7,-2098.9
0.0,0.0,-1958.1,-2097.5
0.0,0.0,-1964.4,-2094.2
0.0,0.0,-1971.2,-2091.4
0.0,0.0,-1980.7,-2087.2
0.0,0.0,-1991.3,-2083.9
0.0,0.0,-2003.2,-2080.0
0.0,0.0,-2015.8,-2075.5
0.0,0.0,-2028.9,-2070.8
0.0,0.0,-2042.6,-2065.4
0.0,0.0,-2055.9,-2060.3
0.0,0.0,-2068.8,-2054.9
0.0,0.0,-2080.9,-2048.1
0.0,0.0,-2093.1,-2041.8
0.0,0.0,-2104.2,-2036.2
0.0,0.0,-2115.0,-2031.1
0.0,0.0,-2126.1,-2025.5
0.0,0.0,-2137.3,-2019.4
0.0,0.0,-2147.9,-2013.8
0.0,0.0,-2158.0,-2008.1
0.0,0.0,-2167.6,-2002.2
0.0,0.0,-2176.3,-1996.7
0.0,0.0,-2184.2,-1990.6
0.0,0.0,-2190.7,-1984.7
0.0,0.0,-2196.1,-1977.5
0.0,0.0,-2199.7,-1969.0
0.0,0.0,-2201.6,-1959.8
0.0,0.0,-2202.2,-1949.9
0.0,0.0,-2202.2,-1939.4
0.0,0.0,-2201.9,-1929.7
0.0,0.0,-2201.8,-1920.5
0.0,0.0,-2202.7,-1911.8
0.0,0.0,-2204.7,-1902.9
0.0,0.0,-2207.8,-1894.0
0.0,0.0,-2212.3,-1885.6
0.0,0.0,-2218.0,-1877.5
0.0,0.0,-2224.5,-1869.5
0.0,0.0,-2232.1,-1861.1
0.0,0.0,-2240.1,-1853.0
0.0,0.0,-2248.7,-1844.5
0.0,0.0,-2258.1,-1836.0
0.0,0.0,-2267.4,-1827.8
